t,x,y,theta,v,omega,h,gamma1,gamma2
19.500000,4.611653,0.600485,0.971446,0.377191,-0.454191,0.299011,0.001000,0.001000
19.600000,4.633631,0.631136,0.926027,0.345767,-0.606747,0.251274,0.001000,0.001000
19.700000,4.655237,0.658123,0.865353,0.318068,-0.785566,0.205046,0.001000,0.001000
19.800000,4.676789,0.681504,0.786796,0.297482,-0.963030,0.161525,0.001000,0.001000
19.900000,4.698776,0.701526,0.690493,0.284983,-1.105823,0.122651,0.001000,0.001000
20.000000,4.721704,0.718426,0.579911,0.276954,-1.187950,0.090598,0.001000,0.001000
20.100000,4.745718,0.732192,0.461116,0.278454,-1.194591,0.067175,0.001000,0.001000
20.200000,4.771335,0.743064,0.341656,0.279293,-1.137401,0.051742,0.001000,0.001000
20.300000,4.798125,0.750907,0.227916,0.280109,-1.024709,0.043874,0.001000,0.001000
20.400000,4.825687,0.755828,0.125445,0.279700,-0.873804,0.041944,0.001000,0.001000
20.500000,4.853555,0.758111,0.038065,0.277679,-0.700507,0.044275,0.001000,0.001000
20.600000,4.881317,0.758196,-0.031986,0.274330,-0.520259,0.049144,0.001000,0.001000
20.700000,4.908701,0.756606,-0.084012,0.270255,-0.345711,0.055211,0.001000,0.001000
20.800000,4.935587,0.753873,-0.118583,0.266091,-0.186941,0.061569,0.001000,0.001000
20.900000,4.961978,0.750478,-0.137277,0.262326,-0.051527,0.067707,0.001000,0.001000
21.000000,4.987954,0.746821,-0.142430,0.259230,0.054635,0.073330,0.001000,0.001000
21.100000,5.013625,0.743212,-0.136966,0.256841,0.130276,0.078418,0.001000,0.001000
21.200000,5.039091,0.739871,-0.123938,0.255072,0.175676,0.082940,0.001000,0.001000
21.300000,5.064428,0.736940,-0.106371,0.253771,0.192535,0.086790,0.001000,0.001000
21.400000,5.089686,0.734489,-0.087117,0.252789,0.185870,0.089960,0.001000,0.001000
21.500000,5.114888,0.732524,-0.068530,0.252014,0.160418,0.092389,0.001000,0.001000
21.600000,5.140044,0.731000,-0.052489,0.251399,0.121098,0.094071,0.001000,0.001000
21.700000,5.165156,0.729833,-0.040379,0.250934,0.072942,0.095044,0.001000,0.001000
21.800000,5.190233,0.728911,-0.033085,0.250648,0.019685,0.095421,0.001000,0.001000
21.900000,5.215284,0.728107,-0.031116,0.250576,-0.034628,0.095382,0.001000,0.001000
22.000000,5.240329,0.727284,-0.034579,0.250770,-0.087977,0.095133,0.001000,0.001000
22.100000,5.265386,0.726307,-0.043377,0.251271,-0.138663,0.094873,0.001000,0.001000
22.200000,5.290482,0.725043,-0.057243,0.252132,-0.186641,0.094797,0.001000,0.001000
22.300000,5.315639,0.723366,-0.075907,0.253418,-0.231987,0.095065,0.001000,0.001000
22.400000,5.340883,0.721151,-0.099106,0.255225,-0.275883,0.095810,0.001000,0.001000
22.500000,5.366242,0.718276,-0.126694,0.257685,-0.319484,0.097094,0.001000,0.001000
22.600000,5.391748,0.714612,-0.158642,0.260971,-0.363517,0.098998,0.001000,0.001000
22.700000,5.417437,0.710022,-0.194994,0.265279,-0.407729,0.101628,0.001000,0.001000
22.800000,5.443350,0.704353,-0.235767,0.270852,-0.451823,0.104948,0.001000,0.001000
22.900000,5.469534,0.697433,-0.280949,0.277874,-0.493629,0.109108,0.001000,0.001000
23.000000,5.496031,0.689073,-0.330312,0.286501,-0.530593,0.114138,0.001000,0.001000
23.100000,5.522873,0.679066,-0.383371,0.296806,-0.560409,0.120047,0.001000,0.001000
23.200000,5.550073,0.667199,-0.439412,0.308758,-0.580779,0.126781,0.001000,0.001000
23.300000,5.577619,0.653260,-0.497490,0.322223,-0.590443,0.134181,0.001000,0.001000
23.400000,5.605465,0.637056,-0.556535,0.336995,-0.589275,0.141914,0.001000,0.001000
23.500000,5.633538,0.618422,-0.615462,0.352800,-0.578097,0.149488,0.001000,0.001000
23.600000,5.661740,0.597233,-0.673272,0.369328,-0.558556,0.156233,0.001000,0.001000
23.700000,5.689955,0.573409,-0.729127,0.386221,-0.532870,0.161388,0.001000,0.001000
23.800000,5.718059,0.546923,-0.782414,0.403067,-0.503884,0.164065,0.001000,0.001000
23.900000,5.745917,0.517799,-0.832803,0.419324,-0.475481,0.163324,0.001000,0.001000
24.000000,5.773382,0.486118,-0.880351,0.434111,-0.453960,0.158156,0.001000,0.001000
24.100000,5.800260,0.452034,-0.925747,0.445617,-0.452591,0.147510,0.001000,0.001000
24.200000,5.826238,0.415832,-0.971006,0.449597,-0.505800,0.129933,0.001000,0.001000
24.300000,5.850667,0.378094,-1.021586,0.425941,-0.691176,0.102717,0.001000,0.001000
24.400000,5.871629,0.341024,-1.090704,0.254618,-1.017886,0.064974,0.001000,0.001000
24.500000,5.882220,0.317882,-1.192492,0.231739,-1.078045,0.046353,0.001000,0.001000
24.600000,5.889603,0.295928,-1.300297,0.222059,-1.054640,0.034142,0.001000,0.001000
24.700000,5.894398,0.274256,-1.405761,0.227593,-0.991085,0.025747,0.001000,0.001000
