t,x,y,theta,v,omega,h,gamma1,gamma2
27.100000,5.833941,0.268583,-1.511127,1.704146,0.046890,0.123162,0.001000,0.001000
27.200000,5.844503,0.098496,-1.506438,0.969153,-0.016831,0.094986,1.724880,0.572286
27.300000,5.850654,0.001776,-1.508121,1.591708,0.023921,0.087741,0.001000,2.316211
27.400000,5.860814,-0.157070,-1.505729,1.566076,0.221954,0.086703,0.001000,0.682534
27.500000,5.872730,-0.313221,-1.483533,1.532168,0.553295,0.121017,0.001000,1.323977
27.600000,5.890298,-0.465407,-1.428204,1.480568,0.830739,0.167384,0.462038,0.001000
27.700000,5.917398,-0.610920,-1.345130,1.416977,0.996689,0.207414,0.462038,0.001000
27.800000,5.955928,-0.747217,-1.245461,1.348954,1.037522,0.231133,0.371835,0.001000
27.900000,6.005592,-0.872573,-1.141709,1.275567,0.978009,0.236454,0.311699,0.001000
28.000000,6.064244,-0.985788,-1.043908,1.198295,0.871138,0.225276,0.271609,0.001000
28.100000,6.128932,-1.086612,-0.956794,1.120375,0.754610,0.201992,0.261586,0.001000
28.200000,6.196874,-1.175664,-0.881333,0.822602,0.695768,0.171476,0.772737,0.001000
28.300000,6.251366,-1.237264,-0.811756,0.412077,0.630674,0.146314,0.852917,0.001000
28.400000,6.280650,-1.266247,-0.748689,0.188771,0.514762,0.134243,0.943120,0.001000
28.500000,6.294804,-1.278734,-0.697212,0.057399,0.402852,0.129270,1.033323,0.001000
28.600000,6.299277,-1.282330,-0.656927,0.041690,0.304914,0.128260,1.053368,0.001000
28.700000,6.302617,-1.284825,-0.626436,-0.001186,0.242292,0.127316,1.103481,0.001000
28.800000,6.302520,-1.284757,-0.602207,0.025729,0.196089,0.127627,1.093459,0.001000
28.900000,6.304654,-1.286194,-0.582598,0.012669,0.173967,0.126880,1.113504,0.001000
29.000000,6.305718,-1.286881,-0.565201,0.011864,0.161772,0.126519,1.123526,0.001000
29.100000,6.306725,-1.287509,-0.549024,0.040767,0.156382,0.126154,1.103481,0.001000
29.200000,6.310219,-1.289609,-0.533386,0.083170,0.158648,0.124835,1.063391,0.001000
29.300000,6.317414,-1.293781,-0.517521,0.057094,0.171134,0.122113,1.083436,0.001000
29.400000,6.322400,-1.296563,-0.500408,0.090027,0.177248,0.120295,1.053368,0.001000
29.500000,6.330337,-1.300812,-0.482683,0.069246,0.189537,0.117500,1.073414,0.001000
29.600000,6.336500,-1.303968,-0.463729,0.075531,0.196483,0.115378,1.073414,0.001000
