t,x,y,theta,v,omega,h,gamma1,gamma2
1.810000,0.263590,0.163547,1.192277,0.472973,-0.081340,0.765267,0.302988,0.139563
1.820000,0.265340,0.167941,1.191464,0.473137,-0.083215,0.762191,0.304858,0.139993
1.830000,0.267094,0.172335,1.190632,0.473283,-0.085059,0.759080,0.306760,0.140429
1.840000,0.268852,0.176729,1.189781,0.473411,-0.086873,0.755939,0.308693,0.140871
1.850000,0.270614,0.181123,1.188912,0.473523,-0.088655,0.752777,0.310652,0.141317
1.860000,0.272381,0.185517,1.188026,0.473617,-0.090408,0.749559,0.312658,0.141772
1.870000,0.274152,0.189909,1.187122,0.473694,-0.092131,0.746341,0.314677,0.142229
1.880000,0.275927,0.194301,1.186200,0.473753,-0.093828,0.743060,0.316748,0.142697
1.890000,0.277707,0.198691,1.185262,0.473795,-0.095498,0.739778,0.318834,0.143166
1.900000,0.279490,0.203081,1.184307,0.473819,-0.097145,0.736452,0.320962,0.143643
1.910000,0.281278,0.207469,1.183336,0.473825,-0.098767,0.733098,0.323122,0.144126
1.920000,0.283071,0.211855,1.182348,0.473814,-0.100367,0.729714,0.325317,0.144614
1.930000,0.284868,0.216239,1.181344,0.473785,-0.101946,0.726293,0.327550,0.145110
1.940000,0.286669,0.220621,1.180325,0.473739,-0.103504,0.722865,0.329804,0.145608
1.950000,0.288474,0.225001,1.179290,0.473675,-0.105043,0.719382,0.332109,0.146116
1.960000,0.290284,0.229378,1.178239,0.473594,-0.106561,0.715899,0.334431,0.146626
1.970000,0.292098,0.233753,1.177174,0.473495,-0.108063,0.712351,0.336812,0.147147
1.980000,0.293916,0.238125,1.176093,0.473378,-0.109548,0.708796,0.339215,0.147671
1.990000,0.295739,0.242494,1.174998,0.473243,-0.111019,0.705206,0.341660,0.148202
2.000000,0.297566,0.246859,1.173888,0.473091,-0.112475,0.701590,0.344139,0.148739
2.010000,0.299397,0.251221,1.172763,0.472920,-0.113918,0.697959,0.346648,0.149280
2.020000,0.301233,0.255580,1.171624,0.472731,-0.115350,0.694274,0.349212,0.149831
2.030000,0.303073,0.259935,1.170470,0.472525,-0.116768,0.690589,0.351796,0.150384
2.040000,0.304917,0.264285,1.169302,0.472300,-0.118179,0.686841,0.354442,0.150949
2.050000,0.306765,0.268631,1.168121,0.472058,-0.119579,0.683096,0.357107,0.151515
2.060000,0.308618,0.272973,1.166925,0.471796,-0.120973,0.679310,0.359821,0.152090
2.070000,0.310474,0.277311,1.165715,0.471517,-0.122359,0.675503,0.362571,0.152670
2.080000,0.312335,0.281643,1.164492,0.471220,-0.123740,0.671667,0.365364,0.153257
2.090000,0.314200,0.285970,1.163254,0.470902,-0.125118,0.667793,0.368206,0.153852
2.100000,0.316069,0.290293,1.162003,0.470567,-0.126491,0.663920,0.371069,0.154449
2.110000,0.317943,0.294609,1.160738,0.470214,-0.127863,0.659989,0.373998,0.155057
2.120000,0.319820,0.298920,1.159459,0.469842,-0.129231,0.656063,0.376946,0.155667
2.130000,0.321701,0.303226,1.158167,0.469450,-0.130601,0.652082,0.379959,0.156288
2.140000,0.323587,0.307525,1.156861,0.469039,-0.131972,0.648089,0.383006,0.156913
2.150000,0.325476,0.311818,1.155541,0.468609,-0.133348,0.644073,0.386094,0.157545
2.160000,0.327369,0.316105,1.154208,0.468158,-0.134729,0.640025,0.389233,0.158184
2.170000,0.329267,0.320385,1.152861,0.467690,-0.136112,0.635977,0.392397,0.158825
2.180000,0.331168,0.324658,1.151499,0.467200,-0.137504,0.631867,0.395636,0.159480
2.190000,0.333073,0.328924,1.150124,0.466691,-0.138900,0.627760,0.398899,0.160136
